Team,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides
Canada,72,71,11,0,0,7
Colombia,70,64,8,0,0,19
Switzerland,69,75,6,0,0,10
Paraguay,66,61,9,1,0,5
Morocco,61,80,6,0,0,9
Belgium,60,56,4,1,0,7
Egypt,59,67,12,0,0,4
Bosnia and Herzegovina,59,37,7,1,0,2
Argentina,59,54,3,0,0,14
Mexico,58,48,4,1,0,5
Ghana,56,47,6,0,0,8
USA,56,64,7,1,0,11
Japan,55,31,4,0,0,4
Haiti,55,43,7,0,0,7
Spain,55,38,3,0,0,9
England,54,77,7,1,0,6
Brazil,51,54,8,0,0,11
Germany,51,42,3,0,0,4
France,49,43,4,0,0,7
Ecuador,49,37,8,1,0,2
Norway,48,35,2,0,0,4
Austria,47,27,5,0,0,11
Australia,46,38,5,0,0,1
Panama,46,33,5,0,0,6
Uzbekistan,45,29,4,0,0,3
Croatia,45,46,4,0,0,8
Congo DR,44,44,6,0,0,9
Netherlands,44,43,3,0,0,8
Portugal,44,58,7,0,0,10
Sweden,43,50,5,0,0,9
Scotland,42,39,5,0,0,2
South Africa,38,46,5,2,0,8
Czechia,37,31,1,0,0,5
Senegal,36,48,3,0,0,10
Qatar,36,28,4,2,0,4
IR Iran,35,23,6,0,0,9
New Zealand,32,23,4,0,0,4
Curacao,32,31,7,0,0,5
Jordan,31,23,4,0,0,3
Uruguay,31,29,5,1,0,14
Turkey,31,38,2,0,0,7
Cote d'Ivoire / Ivory Coast,29,36,4,0,0,4
Saudi Arabia,29,26,6,0,0,3
Algeria,29,40,3,0,0,4
Cabo Verde,27,47,5,0,0,7
Tunisia,27,34,1,0,0,9
Iraq,27,31,4,1,0,1
Korea Republic,25,32,4,0,0,8
